video_id,sentence,ground_truth,top1,top5,top10,top10_raw_res
4200,a man is clutching a woman,4200,"[[3286, 1.4096150398254395]]","[[3286, 1.4096150398254395], [3078, 1.4209519624710083], [9926, 1.4272040128707886], [1179, 1.4272449016571045], [3040, 1.4315106868743896]]","[[3286, 1.4096150398254395], [3078, 1.4209519624710083], [9926, 1.4272040128707886], [1179, 1.4272449016571045], [3040, 1.4315106868743896], [6719, 1.444873332977295], [9801, 1.4467837810516357], [4200, 1.4487721920013428], [2296, 1.4490165710449219], [2353, 1.4505692720413208]]","[[3286, 1.4096150398254395], [3078, 1.4209519624710083], [9926, 1.4272040128707886], [1179, 1.4272449016571045], [3040, 1.4315106868743896], [6719, 1.444873332977295], [9801, 1.4467837810516357], [4200, 1.4487721920013428], [2296, 1.4490165710449219], [2353, 1.4505692720413208]]"
4980,a man is celebrating a victory on the mat,4980,"[[5702, 1.4197523593902588]]","[[5702, 1.4197523593902588], [1424, 1.4278042316436768], [5027, 1.4278234243392944], [9091, 1.4433622360229492], [164, 1.4451475143432617]]","[[5702, 1.4197523593902588], [1424, 1.4278042316436768], [5027, 1.4278234243392944], [9091, 1.4433622360229492], [164, 1.4451475143432617], [2472, 1.4482083320617676], [4087, 1.452305793762207], [972, 1.4558026790618896], [8641, 1.4606542587280273], [2041, 1.4710363149642944]]","[[5702, 1.4197523593902588], [1424, 1.4278042316436768], [5027, 1.4278234243392944], [9091, 1.4433622360229492], [164, 1.4451475143432617], [2472, 1.4482083320617676], [4087, 1.452305793762207], [972, 1.4558026790618896], [8641, 1.4606542587280273], [2041, 1.4710363149642944]]"
5246,a man is by some puppies,5246,"[[2796, 1.4415653944015503]]","[[2796, 1.4415653944015503], [3303, 1.448956847190857], [5546, 1.4793298244476318], [4941, 1.532524585723877], [1228, 1.534311294555664]]","[[2796, 1.4415653944015503], [3303, 1.448956847190857], [5546, 1.4793298244476318], [4941, 1.532524585723877], [1228, 1.534311294555664], [18, 1.5376255512237549], [7609, 1.5462069511413574], [5096, 1.546891450881958], [7980, 1.5476009845733643], [9449, 1.550241470336914]]","[[2796, 1.4415653944015503], [3303, 1.448956847190857], [5546, 1.4793298244476318], [4941, 1.532524585723877], [1228, 1.534311294555664], [18, 1.5376255512237549], [7609, 1.5462069511413574], [5096, 1.546891450881958], [7980, 1.5476009845733643], [9449, 1.550241470336914]]"
5724,a man is by a train,5724,"[[2045, 1.3907688856124878]]","[[2045, 1.3907688856124878], [7832, 1.4136625528335571], [1692, 1.4228482246398926], [3957, 1.4237658977508545], [7424, 1.431740164756775]]","[[2045, 1.3907688856124878], [7832, 1.4136625528335571], [1692, 1.4228482246398926], [3957, 1.4237658977508545], [7424, 1.431740164756775], [9596, 1.4439070224761963], [1644, 1.4653207063674927], [4832, 1.4931893348693848], [4503, 1.4942500591278076], [3395, 1.4979180097579956]]","[[2045, 1.3907688856124878], [7832, 1.4136625528335571], [1692, 1.4228482246398926], [3957, 1.4237658977508545], [7424, 1.431740164756775], [9596, 1.4439070224761963], [1644, 1.4653207063674927], [4832, 1.4931893348693848], [4503, 1.4942500591278076], [3395, 1.4979180097579956]]"
2743,a man is building something,2743,"[[4971, 1.4263536930084229]]","[[4971, 1.4263536930084229], [1210, 1.4302926063537598], [1948, 1.4417188167572021], [5049, 1.44264554977417], [468, 1.4433232545852661]]","[[4971, 1.4263536930084229], [1210, 1.4302926063537598], [1948, 1.4417188167572021], [5049, 1.44264554977417], [468, 1.4433232545852661], [3913, 1.4507582187652588], [1251, 1.451921820640564], [5772, 1.4558029174804688], [7032, 1.4580405950546265], [1483, 1.4597699642181396]]","[[4971, 1.4263536930084229], [1210, 1.4302926063537598], [1948, 1.4417188167572021], [5049, 1.44264554977417], [468, 1.4433232545852661], [3913, 1.4507582187652588], [1251, 1.451921820640564], [5772, 1.4558029174804688], [7032, 1.4580405950546265], [1483, 1.4597699642181396]]"
3187,a man is blessing other s in a church,3187,"[[3187, 1.3392161130905151]]","[[3187, 1.3392161130905151], [992, 1.4458616971969604], [3117, 1.4565259218215942], [3390, 1.4786521196365356], [1899, 1.4840638637542725]]","[[3187, 1.3392161130905151], [992, 1.4458616971969604], [3117, 1.4565259218215942], [3390, 1.4786521196365356], [1899, 1.4840638637542725], [9023, 1.4888838529586792], [4325, 1.4896786212921143], [3589, 1.5012266635894775], [3467, 1.5031553506851196], [7959, 1.5065293312072754]]","[[3187, 1.3392161130905151], [992, 1.4458616971969604], [3117, 1.4565259218215942], [3390, 1.4786521196365356], [1899, 1.4840638637542725], [9023, 1.4888838529586792], [4325, 1.4896786212921143], [3589, 1.5012266635894775], [3467, 1.5031553506851196], [7959, 1.5065293312072754]]"
4194,a man is being tortured,4194,"[[9520, 1.4212234020233154]]","[[9520, 1.4212234020233154], [780, 1.4422528743743896], [9904, 1.4480085372924805], [8090, 1.4553123712539673], [1773, 1.4560458660125732]]","[[9520, 1.4212234020233154], [780, 1.4422528743743896], [9904, 1.4480085372924805], [8090, 1.4553123712539673], [1773, 1.4560458660125732], [1400, 1.4582762718200684], [161, 1.4732587337493896], [1087, 1.4754496812820435], [3466, 1.4805982112884521], [666, 1.481977105140686]]","[[9520, 1.4212234020233154], [780, 1.4422528743743896], [9904, 1.4480085372924805], [8090, 1.4553123712539673], [1773, 1.4560458660125732], [1400, 1.4582762718200684], [161, 1.4732587337493896], [1087, 1.4754496812820435], [3466, 1.4805982112884521], [666, 1.481977105140686]]"
1285,a man is being interviewed,1285,"[[7676, 1.4353646039962769]]","[[7676, 1.4353646039962769], [1321, 1.4466965198516846], [3641, 1.4488520622253418], [9885, 1.4545767307281494], [3887, 1.4565305709838867]]","[[7676, 1.4353646039962769], [1321, 1.4466965198516846], [3641, 1.4488520622253418], [9885, 1.4545767307281494], [3887, 1.4565305709838867], [383, 1.4574068784713745], [3259, 1.4581189155578613], [695, 1.4608168601989746], [2456, 1.4631907939910889], [8631, 1.464501142501831]]","[[7676, 1.4353646039962769], [1321, 1.4466965198516846], [3641, 1.4488520622253418], [9885, 1.4545767307281494], [3887, 1.4565305709838867], [383, 1.4574068784713745], [3259, 1.4581189155578613], [695, 1.4608168601989746], [2456, 1.4631907939910889], [8631, 1.464501142501831]]"
518,a man is being interviewed,518,"[[7676, 1.4353646039962769]]","[[7676, 1.4353646039962769], [1321, 1.4466965198516846], [3641, 1.4488520622253418], [9885, 1.4545767307281494], [3887, 1.4565305709838867]]","[[7676, 1.4353646039962769], [1321, 1.4466965198516846], [3641, 1.4488520622253418], [9885, 1.4545767307281494], [3887, 1.4565305709838867], [383, 1.4574068784713745], [3259, 1.4581189155578613], [695, 1.4608168601989746], [2456, 1.4631907939910889], [8631, 1.464501142501831]]","[[7676, 1.4353646039962769], [1321, 1.4466965198516846], [3641, 1.4488520622253418], [9885, 1.4545767307281494], [3887, 1.4565305709838867], [383, 1.4574068784713745], [3259, 1.4581189155578613], [695, 1.4608168601989746], [2456, 1.4631907939910889], [8631, 1.464501142501831]]"
1525,a man is commentating while playing a pokemon game,1525,"[[893, 1.387634038925171]]","[[893, 1.387634038925171], [9046, 1.400568962097168], [1809, 1.4005913734436035], [8998, 1.4026397466659546], [2063, 1.4035085439682007]]","[[893, 1.387634038925171], [9046, 1.400568962097168], [1809, 1.4005913734436035], [8998, 1.4026397466659546], [2063, 1.4035085439682007], [262, 1.4049148559570312], [6747, 1.4086709022521973], [1525, 1.4133758544921875], [6971, 1.413381814956665], [9510, 1.4135260581970215]]","[[893, 1.387634038925171], [9046, 1.400568962097168], [1809, 1.4005913734436035], [8998, 1.4026397466659546], [2063, 1.4035085439682007], [262, 1.4049148559570312], [6747, 1.4086709022521973], [1525, 1.4133758544921875], [6971, 1.413381814956665], [9510, 1.4135260581970215]]"
5745,a man is discussing seriously with his friend,5745,"[[3412, 1.4483139514923096]]","[[3412, 1.4483139514923096], [8685, 1.4572837352752686], [2537, 1.4595435857772827], [6608, 1.4645711183547974], [1005, 1.469330072402954]]","[[3412, 1.4483139514923096], [8685, 1.4572837352752686], [2537, 1.4595435857772827], [6608, 1.4645711183547974], [1005, 1.469330072402954], [3575, 1.4694159030914307], [2220, 1.4725918769836426], [2902, 1.4767346382141113], [7371, 1.4787791967391968], [300, 1.481410264968872]]","[[3412, 1.4483139514923096], [8685, 1.4572837352752686], [2537, 1.4595435857772827], [6608, 1.4645711183547974], [1005, 1.469330072402954], [3575, 1.4694159030914307], [2220, 1.4725918769836426], [2902, 1.4767346382141113], [7371, 1.4787791967391968], [300, 1.481410264968872]]"
6323,a man is discussing restaurant style nachos,6323,"[[8222, 1.4503612518310547]]","[[8222, 1.4503612518310547], [411, 1.457923412322998], [9539, 1.4625091552734375], [8297, 1.4636317491531372], [9936, 1.4881019592285156]]","[[8222, 1.4503612518310547], [411, 1.457923412322998], [9539, 1.4625091552734375], [8297, 1.4636317491531372], [9936, 1.4881019592285156], [1854, 1.4883825778961182], [3361, 1.4943991899490356], [1398, 1.5048255920410156], [2583, 1.50494384765625], [4973, 1.5064308643341064]]","[[8222, 1.4503612518310547], [411, 1.457923412322998], [9539, 1.4625091552734375], [8297, 1.4636317491531372], [9936, 1.4881019592285156], [1854, 1.4883825778961182], [3361, 1.4943991899490356], [1398, 1.5048255920410156], [2583, 1.50494384765625], [4973, 1.5064308643341064]]"
3962,a man is describing his two motorcycles,3962,"[[9809, 1.455514669418335]]","[[9809, 1.455514669418335], [5927, 1.4641993045806885], [8220, 1.4665658473968506], [9482, 1.470954179763794], [8563, 1.4729223251342773]]","[[9809, 1.455514669418335], [5927, 1.4641993045806885], [8220, 1.4665658473968506], [9482, 1.470954179763794], [8563, 1.4729223251342773], [2089, 1.4820992946624756], [8657, 1.490476131439209], [3188, 1.4927632808685303], [8085, 1.4939966201782227], [3153, 1.4947314262390137]]","[[9809, 1.455514669418335], [5927, 1.4641993045806885], [8220, 1.4665658473968506], [9482, 1.470954179763794], [8563, 1.4729223251342773], [2089, 1.4820992946624756], [8657, 1.490476131439209], [3188, 1.4927632808685303], [8085, 1.4939966201782227], [3153, 1.4947314262390137]]"
6886,a man is being interviewed on the street,6886,"[[728, 1.4281291961669922]]","[[728, 1.4281291961669922], [988, 1.444188117980957], [970, 1.4457781314849854], [1341, 1.4541094303131104], [4830, 1.459661602973938]]","[[728, 1.4281291961669922], [988, 1.444188117980957], [970, 1.4457781314849854], [1341, 1.4541094303131104], [4830, 1.459661602973938], [8946, 1.464914083480835], [5097, 1.4670875072479248], [2178, 1.4721397161483765], [5901, 1.4800339937210083], [378, 1.4821882247924805]]","[[728, 1.4281291961669922], [988, 1.444188117980957], [970, 1.4457781314849854], [1341, 1.4541094303131104], [4830, 1.459661602973938], [8946, 1.464914083480835], [5097, 1.4670875072479248], [2178, 1.4721397161483765], [5901, 1.4800339937210083], [378, 1.4821882247924805]]"
3425,a man is describing a collection of rolls-royces,3425,"[[2789, 1.4239046573638916]]","[[2789, 1.4239046573638916], [9913, 1.4648535251617432], [8344, 1.4737944602966309], [2832, 1.4771387577056885], [5013, 1.4794294834136963]]","[[2789, 1.4239046573638916], [9913, 1.4648535251617432], [8344, 1.4737944602966309], [2832, 1.4771387577056885], [5013, 1.4794294834136963], [1253, 1.4856672286987305], [0, 1.4910356998443604], [334, 1.494691252708435], [1602, 1.4952325820922852], [1751, 1.5007848739624023]]","[[2789, 1.4239046573638916], [9913, 1.4648535251617432], [8344, 1.4737944602966309], [2832, 1.4771387577056885], [5013, 1.4794294834136963], [1253, 1.4856672286987305], [0, 1.4910356998443604], [334, 1.494691252708435], [1602, 1.4952325820922852], [1751, 1.5007848739624023]]"
5694,a man is demonstrating an experiment involving a microwave,5694,"[[7154, 1.3642830848693848]]","[[7154, 1.3642830848693848], [5256, 1.3782799243927002], [8643, 1.4501075744628906], [783, 1.4557856321334839], [9176, 1.459797978401184]]","[[7154, 1.3642830848693848], [5256, 1.3782799243927002], [8643, 1.4501075744628906], [783, 1.4557856321334839], [9176, 1.459797978401184], [9950, 1.4601900577545166], [4606, 1.4608650207519531], [5013, 1.4684447050094604], [1226, 1.4741761684417725], [3180, 1.4790576696395874]]","[[7154, 1.3642830848693848], [5256, 1.3782799243927002], [8643, 1.4501075744628906], [783, 1.4557856321334839], [9176, 1.459797978401184], [9950, 1.4601900577545166], [4606, 1.4608650207519531], [5013, 1.4684447050094604], [1226, 1.4741761684417725], [3180, 1.4790576696395874]]"
783,a man is demonstrating an experiment involving a microwave,783,"[[7154, 1.3642830848693848]]","[[7154, 1.3642830848693848], [5256, 1.3782799243927002], [8643, 1.4501075744628906], [783, 1.4557856321334839], [9176, 1.459797978401184]]","[[7154, 1.3642830848693848], [5256, 1.3782799243927002], [8643, 1.4501075744628906], [783, 1.4557856321334839], [9176, 1.459797978401184], [9950, 1.4601900577545166], [4606, 1.4608650207519531], [5013, 1.4684447050094604], [1226, 1.4741761684417725], [3180, 1.4790576696395874]]","[[7154, 1.3642830848693848], [5256, 1.3782799243927002], [8643, 1.4501075744628906], [783, 1.4557856321334839], [9176, 1.459797978401184], [9950, 1.4601900577545166], [4606, 1.4608650207519531], [5013, 1.4684447050094604], [1226, 1.4741761684417725], [3180, 1.4790576696395874]]"
2137,a man is demonstrating a math equation,2137,"[[3058, 1.3917933702468872]]","[[3058, 1.3917933702468872], [7634, 1.3927760124206543], [6415, 1.4178335666656494], [7013, 1.4371063709259033], [2074, 1.4541728496551514]]","[[3058, 1.3917933702468872], [7634, 1.3927760124206543], [6415, 1.4178335666656494], [7013, 1.4371063709259033], [2074, 1.4541728496551514], [5179, 1.457364797592163], [7775, 1.4721086025238037], [461, 1.479116678237915], [5498, 1.4915127754211426], [8331, 1.5040068626403809]]","[[3058, 1.3917933702468872], [7634, 1.3927760124206543], [6415, 1.4178335666656494], [7013, 1.4371063709259033], [2074, 1.4541728496551514], [5179, 1.457364797592163], [7775, 1.4721086025238037], [461, 1.479116678237915], [5498, 1.4915127754211426], [8331, 1.5040068626403809]]"
366,a man is cooking,366,"[[6720, 1.4379371404647827]]","[[6720, 1.4379371404647827], [6891, 1.4403077363967896], [1111, 1.4505224227905273], [6672, 1.4578313827514648], [6582, 1.4599494934082031]]","[[6720, 1.4379371404647827], [6891, 1.4403077363967896], [1111, 1.4505224227905273], [6672, 1.4578313827514648], [6582, 1.4599494934082031], [6557, 1.462026596069336], [7388, 1.4660687446594238], [6787, 1.4704736471176147], [5881, 1.4751410484313965], [3989, 1.475416898727417]]","[[6720, 1.4379371404647827], [6891, 1.4403077363967896], [1111, 1.4505224227905273], [6672, 1.4578313827514648], [6582, 1.4599494934082031], [6557, 1.462026596069336], [7388, 1.4660687446594238], [6787, 1.4704736471176147], [5881, 1.4751410484313965], [3989, 1.475416898727417]]"
5481,a man is controlling puppets,5481,"[[5481, 1.3939489126205444]]","[[5481, 1.3939489126205444], [5546, 1.4050029516220093], [1433, 1.4740147590637207], [6018, 1.4745323657989502], [1173, 1.4891433715820312]]","[[5481, 1.3939489126205444], [5546, 1.4050029516220093], [1433, 1.4740147590637207], [6018, 1.4745323657989502], [1173, 1.4891433715820312], [7637, 1.4992982149124146], [6188, 1.5037086009979248], [7232, 1.5125805139541626], [3903, 1.5151429176330566], [719, 1.5184290409088135]]","[[5481, 1.3939489126205444], [5546, 1.4050029516220093], [1433, 1.4740147590637207], [6018, 1.4745323657989502], [1173, 1.4891433715820312], [7637, 1.4992982149124146], [6188, 1.5037086009979248], [7232, 1.5125805139541626], [3903, 1.5151429176330566], [719, 1.5184290409088135]]"
265,a man is constructing a model,265,"[[6006, 1.4275504350662231]]","[[6006, 1.4275504350662231], [5542, 1.4376286268234253], [468, 1.4378623962402344], [5712, 1.4456931352615356], [7221, 1.4663758277893066]]","[[6006, 1.4275504350662231], [5542, 1.4376286268234253], [468, 1.4378623962402344], [5712, 1.4456931352615356], [7221, 1.4663758277893066], [265, 1.4717001914978027], [5792, 1.47682523727417], [5219, 1.4801173210144043], [83, 1.48280668258667], [9093, 1.4881690740585327]]","[[6006, 1.4275504350662231], [5542, 1.4376286268234253], [468, 1.4378623962402344], [5712, 1.4456931352615356], [7221, 1.4663758277893066], [265, 1.4717001914978027], [5792, 1.47682523727417], [5219, 1.4801173210144043], [83, 1.48280668258667], [9093, 1.4881690740585327]]"
4794,a man is commenting on something,4794,"[[5065, 1.4594058990478516]]","[[5065, 1.4594058990478516], [5784, 1.4627509117126465], [5384, 1.462859869003296], [5971, 1.4637229442596436], [7375, 1.464200735092163]]","[[5065, 1.4594058990478516], [5784, 1.4627509117126465], [5384, 1.462859869003296], [5971, 1.4637229442596436], [7375, 1.464200735092163], [2740, 1.4697710275650024], [5455, 1.4707850217819214], [7127, 1.4713832139968872], [5378, 1.473280429840088], [4880, 1.4735352993011475]]","[[5065, 1.4594058990478516], [5784, 1.4627509117126465], [5384, 1.462859869003296], [5971, 1.4637229442596436], [7375, 1.464200735092163], [2740, 1.4697710275650024], [5455, 1.4707850217819214], [7127, 1.4713832139968872], [5378, 1.473280429840088], [4880, 1.4735352993011475]]"
1237,a man is demonstrating how to set a path to a music folder,1237,"[[7166, 1.346825122833252]]","[[7166, 1.346825122833252], [8941, 1.3921080827713013], [9568, 1.4060523509979248], [9410, 1.4074044227600098], [3585, 1.4112122058868408]]","[[7166, 1.346825122833252], [8941, 1.3921080827713013], [9568, 1.4060523509979248], [9410, 1.4074044227600098], [3585, 1.4112122058868408], [7347, 1.4131896495819092], [7463, 1.417299747467041], [2778, 1.4175879955291748], [3987, 1.4216915369033813], [662, 1.4251245260238647]]","[[7166, 1.346825122833252], [8941, 1.3921080827713013], [9568, 1.4060523509979248], [9410, 1.4074044227600098], [3585, 1.4112122058868408], [7347, 1.4131896495819092], [7463, 1.417299747467041], [2778, 1.4175879955291748], [3987, 1.4216915369033813], [662, 1.4251245260238647]]"
383,a man is being interviewed on a television show,383,"[[5307, 1.4310905933380127]]","[[5307, 1.4310905933380127], [1321, 1.4324359893798828], [7676, 1.4376001358032227], [8120, 1.4386647939682007], [8917, 1.4388935565948486]]","[[5307, 1.4310905933380127], [1321, 1.4324359893798828], [7676, 1.4376001358032227], [8120, 1.4386647939682007], [8917, 1.4388935565948486], [7349, 1.4406763315200806], [8932, 1.4441462755203247], [5865, 1.445039987564087], [9930, 1.4468166828155518], [9, 1.4471251964569092]]","[[5307, 1.4310905933380127], [1321, 1.4324359893798828], [7676, 1.4376001358032227], [8120, 1.4386647939682007], [8917, 1.4388935565948486], [7349, 1.4406763315200806], [8932, 1.4441462755203247], [5865, 1.445039987564087], [9930, 1.4468166828155518], [9, 1.4471251964569092]]"
2320,a man in a leather jacket shoots a few people,2320,"[[2320, 1.3815295696258545]]","[[2320, 1.3815295696258545], [2001, 1.4175077676773071], [6554, 1.4234102964401245], [4069, 1.4236726760864258], [3428, 1.4317677021026611]]","[[2320, 1.3815295696258545], [2001, 1.4175077676773071], [6554, 1.4234102964401245], [4069, 1.4236726760864258], [3428, 1.4317677021026611], [1182, 1.4441697597503662], [8547, 1.44771146774292], [1755, 1.4582366943359375], [4371, 1.4583977460861206], [9784, 1.4587311744689941]]","[[2320, 1.3815295696258545], [2001, 1.4175077676773071], [6554, 1.4234102964401245], [4069, 1.4236726760864258], [3428, 1.4317677021026611], [1182, 1.4441697597503662], [8547, 1.44771146774292], [1755, 1.4582366943359375], [4371, 1.4583977460861206], [9784, 1.4587311744689941]]"
5768,a man in a full mechanic s suite is demonstrating valve cover removal quickly while wearing purple gloves and giving step by step instructions,5768,"[[5768, 1.3874564170837402]]","[[5768, 1.3874564170837402], [6996, 1.4328179359436035], [7032, 1.4416881799697876], [2, 1.4771947860717773], [9970, 1.4798381328582764]]","[[5768, 1.3874564170837402], [6996, 1.4328179359436035], [7032, 1.4416881799697876], [2, 1.4771947860717773], [9970, 1.4798381328582764], [7820, 1.4838409423828125], [6327, 1.4897267818450928], [5418, 1.492605447769165], [467, 1.4941895008087158], [3235, 1.496669888496399]]","[[5768, 1.3874564170837402], [6996, 1.4328179359436035], [7032, 1.4416881799697876], [2, 1.4771947860717773], [9970, 1.4798381328582764], [7820, 1.4838409423828125], [6327, 1.4897267818450928], [5418, 1.492605447769165], [467, 1.4941895008087158], [3235, 1.496669888496399]]"
2634,a man in a blue shirt is dribbling a basketball,2634,"[[2926, 1.419640064239502]]","[[2926, 1.419640064239502], [3017, 1.431023359298706], [7458, 1.4331185817718506], [9150, 1.4406681060791016], [9650, 1.4488515853881836]]","[[2926, 1.419640064239502], [3017, 1.431023359298706], [7458, 1.4331185817718506], [9150, 1.4406681060791016], [9650, 1.4488515853881836], [2408, 1.4495723247528076], [2305, 1.4501416683197021], [7112, 1.4554359912872314], [7873, 1.4582188129425049], [8715, 1.4616963863372803]]","[[2926, 1.419640064239502], [3017, 1.431023359298706], [7458, 1.4331185817718506], [9150, 1.4406681060791016], [9650, 1.4488515853881836], [2408, 1.4495723247528076], [2305, 1.4501416683197021], [7112, 1.4554359912872314], [7873, 1.4582188129425049], [8715, 1.4616963863372803]]"
3472,a man in a black suit talk,3472,"[[4732, 1.4195481538772583]]","[[4732, 1.4195481538772583], [2122, 1.4212909936904907], [261, 1.4234890937805176], [2377, 1.4242523908615112], [1850, 1.4269461631774902]]","[[4732, 1.4195481538772583], [2122, 1.4212909936904907], [261, 1.4234890937805176], [2377, 1.4242523908615112], [1850, 1.4269461631774902], [3442, 1.4307429790496826], [4802, 1.4335429668426514], [111, 1.4369430541992188], [4830, 1.441373586654663], [5717, 1.442115306854248]]","[[4732, 1.4195481538772583], [2122, 1.4212909936904907], [261, 1.4234890937805176], [2377, 1.4242523908615112], [1850, 1.4269461631774902], [3442, 1.4307429790496826], [4802, 1.4335429668426514], [111, 1.4369430541992188], [4830, 1.441373586654663], [5717, 1.442115306854248]]"
164,a man hugging his coach and friends after a wrestling match,164,"[[164, 1.3124358654022217]]","[[164, 1.3124358654022217], [2041, 1.3761260509490967], [9194, 1.409288763999939], [8262, 1.4145081043243408], [2571, 1.4206584692001343]]","[[164, 1.3124358654022217], [2041, 1.3761260509490967], [9194, 1.409288763999939], [8262, 1.4145081043243408], [2571, 1.4206584692001343], [9375, 1.4294085502624512], [491, 1.4371764659881592], [3669, 1.4430036544799805], [5153, 1.4432525634765625], [8641, 1.4461543560028076]]","[[164, 1.3124358654022217], [2041, 1.3761260509490967], [9194, 1.409288763999939], [8262, 1.4145081043243408], [2571, 1.4206584692001343], [9375, 1.4294085502624512], [491, 1.4371764659881592], [3669, 1.4430036544799805], [5153, 1.4432525634765625], [8641, 1.4461543560028076]]"
2308,a man hosts a news broadcast,2308,"[[1621, 1.4180686473846436]]","[[1621, 1.4180686473846436], [2937, 1.4301061630249023], [276, 1.4331333637237549], [4785, 1.4351388216018677], [1678, 1.435142159461975]]","[[1621, 1.4180686473846436], [2937, 1.4301061630249023], [276, 1.4331333637237549], [4785, 1.4351388216018677], [1678, 1.435142159461975], [8175, 1.4379245042800903], [8491, 1.4383158683776855], [9819, 1.4420604705810547], [914, 1.4436451196670532], [2069, 1.4448455572128296]]","[[1621, 1.4180686473846436], [2937, 1.4301061630249023], [276, 1.4331333637237549], [4785, 1.4351388216018677], [1678, 1.435142159461975], [8175, 1.4379245042800903], [8491, 1.4383158683776855], [9819, 1.4420604705810547], [914, 1.4436451196670532], [2069, 1.4448455572128296]]"
2761,a man hooks up a device,2761,"[[9427, 1.4501293897628784]]","[[9427, 1.4501293897628784], [1144, 1.4518557786941528], [6900, 1.4601094722747803], [3899, 1.463847041130066], [2384, 1.465734839439392]]","[[9427, 1.4501293897628784], [1144, 1.4518557786941528], [6900, 1.4601094722747803], [3899, 1.463847041130066], [2384, 1.465734839439392], [5117, 1.4661529064178467], [7369, 1.468491792678833], [1845, 1.4699875116348267], [5792, 1.47079598903656], [4196, 1.4709807634353638]]","[[9427, 1.4501293897628784], [1144, 1.4518557786941528], [6900, 1.4601094722747803], [3899, 1.463847041130066], [2384, 1.465734839439392], [5117, 1.4661529064178467], [7369, 1.468491792678833], [1845, 1.4699875116348267], [5792, 1.47079598903656], [4196, 1.4709807634353638]]"
10,a man holds two dogs,10,"[[7088, 1.4367800951004028]]","[[7088, 1.4367800951004028], [2796, 1.456730604171753], [3303, 1.4777517318725586], [9404, 1.5353224277496338], [5153, 1.5379743576049805]]","[[7088, 1.4367800951004028], [2796, 1.456730604171753], [3303, 1.4777517318725586], [9404, 1.5353224277496338], [5153, 1.5379743576049805], [5546, 1.5398138761520386], [7191, 1.5461786985397339], [7488, 1.5507673025131226], [8456, 1.5545544624328613], [5816, 1.5550854206085205]]","[[7088, 1.4367800951004028], [2796, 1.456730604171753], [3303, 1.4777517318725586], [9404, 1.5353224277496338], [5153, 1.5379743576049805], [5546, 1.5398138761520386], [7191, 1.5461786985397339], [7488, 1.5507673025131226], [8456, 1.5545544624328613], [5816, 1.5550854206085205]]"
6318,a man holds a mickey mouse action figure,6318,"[[6318, 1.2886053323745728]]","[[6318, 1.2886053323745728], [5836, 1.4643183946609497], [6857, 1.4789528846740723], [1914, 1.4862321615219116], [351, 1.495837926864624]]","[[6318, 1.2886053323745728], [5836, 1.4643183946609497], [6857, 1.4789528846740723], [1914, 1.4862321615219116], [351, 1.495837926864624], [956, 1.4963479042053223], [955, 1.5066474676132202], [320, 1.5066757202148438], [6037, 1.5067720413208008], [1479, 1.5108888149261475]]","[[6318, 1.2886053323745728], [5836, 1.4643183946609497], [6857, 1.4789528846740723], [1914, 1.4862321615219116], [351, 1.495837926864624], [956, 1.4963479042053223], [955, 1.5066474676132202], [320, 1.5066757202148438], [6037, 1.5067720413208008], [1479, 1.5108888149261475]]"
3824,a man holds a folded flower,3824,"[[2477, 1.4638428688049316]]","[[2477, 1.4638428688049316], [4405, 1.5006484985351562], [2640, 1.514664649963379], [3663, 1.5152159929275513], [8060, 1.517077922821045]]","[[2477, 1.4638428688049316], [4405, 1.5006484985351562], [2640, 1.514664649963379], [3663, 1.5152159929275513], [8060, 1.517077922821045], [2691, 1.526289463043213], [7167, 1.5274485349655151], [5296, 1.5306670665740967], [9497, 1.534881830215454], [1450, 1.5350167751312256]]","[[2477, 1.4638428688049316], [4405, 1.5006484985351562], [2640, 1.514664649963379], [3663, 1.5152159929275513], [8060, 1.517077922821045], [2691, 1.526289463043213], [7167, 1.5274485349655151], [5296, 1.5306670665740967], [9497, 1.534881830215454], [1450, 1.5350167751312256]]"
2422,a man holds a finished disney puzzle,2422,"[[2422, 1.2760097980499268]]","[[2422, 1.2760097980499268], [1914, 1.3879287242889404], [6318, 1.3972773551940918], [8684, 1.4467138051986694], [5003, 1.4698152542114258]]","[[2422, 1.2760097980499268], [1914, 1.3879287242889404], [6318, 1.3972773551940918], [8684, 1.4467138051986694], [5003, 1.4698152542114258], [7062, 1.4872030019760132], [1479, 1.4885547161102295], [7075, 1.4910227060317993], [5721, 1.4964122772216797], [7739, 1.502558708190918]]","[[2422, 1.2760097980499268], [1914, 1.3879287242889404], [6318, 1.3972773551940918], [8684, 1.4467138051986694], [5003, 1.4698152542114258], [7062, 1.4872030019760132], [1479, 1.4885547161102295], [7075, 1.4910227060317993], [5721, 1.4964122772216797], [7739, 1.502558708190918]]"
